original_sentence,nearest_neighbor,cosine_similarity
હાલ તેની સારવાર હોસ્પિટલમાં ચાલી છે.,દેશમાં હાલ કોરોના મહામારી ચાલી રહી છે.,0.3943
યુવતી સંપૂર્ણ ભાનમાં આવી ગઈ છે અને તેનું નિવેદન પણ નોંધાવી દીધું છે.,એનસીબી અધિકારીઓએ આ કેસમાં એક એફઆઈઆર પણ નોંધાવી છે.,0.1571
"રાત્રિભોજન: બ્રોકોલી, ટમેટાં એક દંપતિ અને બ્રેડનો ટુકડો","ખાસ કરીને, પ્રદર્શન સાંજે રાખવામાં આવે છે, અને તેથી  પ્રકાશ રાત્રિભોજન  વનસ્પતિ કચુંબર અને શેકવામાં માછલીનો ટુકડો સ્વરૂપમાં - ફરજિયાત છે.",0.1047
શેર ખાન ક્રિકેટના બહું મોટા પ્રશંસક છે અને આ અગાઉ પણ તે મેચ નિહાળવા માટે ભારત આવી ચુક્યા છે.,"અને હવે આજે ભારતને અફઘાનિસ્તાન સાથે મેચ રમવાની છે, જેમાં ભારતે આ મેચ મોટા માર્જિનથી જીતવી પડશે.",0.1653
તેઓ પહેલી નજરે જોતા પહેલવાન ધી ગ્રેટ ખલી જેવા લાગે છે.,નવા સંબંધ બનતા નજરે પડી રહ્યા છે.,0.1440
યુએસ ઓપનનો તાજ જીત્યાના પાંચ વર્ષ બાદ રશિયાની સ્વેચલાવા કુઝનેત્સોવાએ ફ્રેન્ચ ઓપનમાં વિજય મેળવ્યા બાદ એટલી બધી ખૂશ થઈ ગઈ હતી કે ક્રાઉડમાં તેની તરફેણ કરી રહેલા એક દર્શકને ચુંબન આપ્યું હતું.,"શરૂઆત પહેલાંનો એક અંતિમ બિંદુ એ નોંધવું છે કે નિદાન મેળવ્યા બાદ તે મહત્વનું છે, જો તમે ક્યારેય સ્મૉક કર્યો નથી.",0.0833
"આ એક ડિસઓર્ડર છે, જેમાં તેમના શરીરનો અસાધારણ વિકાસ થઈ જાય છે.",જેમા તેમના શરીરનો વિકાસ પણ રોકાઈ શકે છે.,0.4168
"સર્વેમાં જાણવા મળ્યા મુજબ 53 ટકા લોકોએ સ્ટાન્ડર્ડ ડિડક્શનની રકમ વધારીને 75,000 કરવાનું સૂચવ્યું છે.",આઇટી એક્ટની ધારા ૮૦સી અને ૮૦ડી અંતર્ગત સ્ટાન્ડર્ડ ડિડક્શનની મર્યાદા વધવાની અપેક્ષા,0.2395
બાદ ફરી પેટ્રોલમાં 34 અને ડિઝલમાં 17 પૈસાનો વધારો થતાં શહેરમાં પેટ્રોલનો નવો ભાવ રૂા.,પેટ્રોલમાં ૨૦ પૈસા અને ડિઝલમાં ૫૫ પૈસાનો વધારો…,0.4306
જેને લઇને મેન્યુફેકચરિંગ કંપનીઓને મોટી રાહત થશે.,સાથે જ કંપનીઓને ડિવિડન્‍ડ ટેક્ષમાં છુટ મળવાથી કંપનીઓને ભારતમાં તેમના બિઝનેસને આગળ વધારવામાં મદદ મળશે.,0.1984
74 અને ડીઝલનો ભાવ રૂા.,તેમણે કુલ રૂા.,0.3122
96.,જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,0.0000
38 થયો છે.,સ્થાનિક વિસ્તારના નાગરિકોની અવરજવર માટે 38 કિ.,0.3554
વિશ્વના નેતાઓને સાબરમતી નદી શુદ્ધ હોવાના દ્રશ્ય દેખાડાય છે,ઉલ્હાસ નદી,0.1533
"પર પોસ્ટ કરવામાં આવ્યું 18 શકે છે, 2019 ઓગસ્ટ 19, 2019 લેખક એન્ડ્રુ	બંધ ટિપ્પણીઓ બ્રાન્ડ નવી casનલાઇન કેસિનો બોનસ સાઇટ્સ પર	 સાથી ખેલાડીને શુભેચ્છાઓ અને અમારી માન્યતા પ્રાપ્ત casનલાઇન કેસિનોની સૂચિમાં આપનું સ્વાગત છે જ્યાં તમને તમામ પ્રકારનાં ઉચ્ચ મૂલ્ય બોનસ મળશે.","અમારી અનુભવી ટીમ હંમેશા મુલાકાતીઓને બેસ્ટ નો ડિપોઝિટ બોનસ સાથે પ્રદાન કરે છે જે તમને પરવાનગી આપે છે તમે જીતી રાખો, ઘણા સહિત વિશિષ્ટ બોનસ નવા ખેલાડીઓ માટે.",0.1874
"પરંતુ પ્રથમ અને અગ્રણી, અહીં હોવા બદલ અને અમારામાં વિશ્વાસ મૂકવા બદલ આભાર!","પ્રથમ અને અગ્રણી, તમે સ્થાનિક ભૂમાપન સેવા સંપર્ક કરવો આવશ્યક છે.",0.2295
"અમે ત્યાં એ હકીકતથી સારી રીતે વાકેફ છે કે ત્યાં વેબસાઇટ્સની અનંત છે, highંચી અને નીચું બંને લક્ષ્ય રાખીને, તે એવા ખેલાડીઓ માટેનું એક માઇનફિલ્ડ બનાવે છે જે રમવા માટે યોગ્ય સાઇટ્સ પર સંશોધન કરવાનો પ્રયાસ કરી રહ્યાં છે.","પરંતુ તે કાળજીપૂર્વક પસંદ વર્થ છે કારણ કે ત્યાં એક નકલી છે, જે બજાર પર હવે છે કે ચાલી જોખમ પણ પૂરતું છે.",0.1495
અમે ફક્ત ખૂબ જ ઉત્તમ બ્રાન્ડ્સને પ્રોત્સાહન આપીને પોતાને ગર્વ કરીએ છીએ અને અમે અમારા વાચકો સાથે લાંબા ગાળાના સંબંધો બનાવવા માટે તેમાં છીએ.,અમે કપૂર છીએ.,0.2591
"આપણે જે કેસિનો સુપરહીરો છીએ, અમે અમારા સાથી ખેલાડીઓનું માર્ગદર્શન આપવા માટે અમારી શક્તિઓ, જ્ knowledgeાન અને અનુભવનો ઉપયોગ કરવા માગીએ છીએ.",કેસિનો પણ જવું અને કેસિનો લાઈફ જોવો.,0.2155
"અમારા ઘણા સ્પર્ધકો નિર્લજ્જતાપૂર્વક તેઓ જે કંઇ પણ કરી શકે તે પ્રોત્સાહન આપશે, તેથી તમે સાવચેત રહેવું શાણો છે!","સરેરાશ લંબાઈ પણ બિનસલાહભર્યા નથી, પરંતુ મેક્સી સાથે સાવચેત રહેવું જોઈએ, છબી ખૂબ અસફળ થઈ શકે છે;",0.1566
"અમે જે સૂચિ તૈયાર કરી છે તે વ્યાપક પૃષ્ઠભૂમિ તપાસ, મહિનાના સંશોધન અને વર્ષોના અનુભવનું પરિણામ છે.",વ્યાપક દબાણ છે,0.2087
ચેતવણીના સંકેતો તેમજ સકારાત્મક પાસાઓ - આપણે બરાબર શું જોઈએ છે તે જાણ્યું છે.,પરંતુ દેશમાં રાજકીય કટોકટી જીવન તમામ પાસાઓ અસર થઈ છે.,0.1912
જે પ્રશ્નો આપણે આપણી જાતને પૂછીએ છીએ તે છે; શું આ કેસિનોમાં માલિકીની પારદર્શિતા છે?,તે વિશે અસામાન્ય શું છે?,0.1956
કેસિનો સમુદાય શું કહે છે અને તેમના અનુભવો શું છે?,તેઓ ક્યાં છે અને તેમના વિસ્તાર શું છે?,0.3924
બોનસ શરતોમાં કોઈ ઠગ પાસાં છે?,"ગ્રાહકોને આકર્ષવા માટે ડિલર્સ ભારે ડિસ્કાઉન્ટ, એક્સચેન્જ બોનસ અને લોયલ્ટી બોનસ જેવી સ્કીમો પણ રાખી હતી.",0.2152
આ મહત્વપૂર્ણ બાબતો છે જેને આપણે હળવાશથી લેતા નથી.,એટલે હવે આપણે એને કંઈ કરવાનું નથી.,0.1854
જ્યારે આપણે કસિનોને પ્રોત્સાહન આપવાનું નક્કી કરીએ છીએ ત્યારે પ્લેયર સલામતી એ ટોચની અગ્રતા અને સૌથી મહત્વપૂર્ણ પરિબળ છે.,પ્રમાણિકતા એ પોલીસની આબરૂ માટે ખુબ મહત્વનું પરિબળ છે.,0.1434
જેથી કોઇ વેપારીએ સપ્ટેમ્બર મહિના સુધીમાં ૪૦ લાખનું પેમેન્ટ લીધું હશે અને ઓકટોબરમાં બીજું ૧૩ લાખનું પેમેન્ટ આવે તો તેનું ટર્નઓવર ૫૦ લાખની ઉપર થાય છે.,"પ્રાપ્ત વિગતો અનુસાર ક્રેડિટ કાર્ડ દ્વારા પેમેન્ટ પર 1 ટકા, ડેબિટ કાર્ડ દ્વારા પેમેન્ટ પર 0.",0.2109
સલામત બનો અને જવાબદારીપૂર્વક રમો!,રાહદારીઓ માટે મુંબઈ સૌથી સલામત શહેર છે.,0.1587
અગ્રણી Casનલાઇન કેસિનો માટે અમારી પાસે નવીનતમ ડિપોઝિટ બોનસ offersફર છે.,"આ સૂચિ પર, તમને 168 નો ડિપોઝિટ બોનસ કસિનો મળશે 1316 Casનલાઇન કેસિનો દુનિયા માં.",0.4214
"આ સૂચિ પર, તમને 168 નો ડિપોઝિટ બોનસ કસિનો મળશે 1316 Casનલાઇન કેસિનો દુનિયા માં.",અગ્રણી Casનલાઇન કેસિનો માટે અમારી પાસે નવીનતમ ડિપોઝિટ બોનસ offersફર છે.,0.4214
"અમારી અનુભવી ટીમ હંમેશા મુલાકાતીઓને બેસ્ટ નો ડિપોઝિટ બોનસ સાથે પ્રદાન કરે છે જે તમને પરવાનગી આપે છે તમે જીતી રાખો, ઘણા સહિત વિશિષ્ટ બોનસ નવા ખેલાડીઓ માટે.",તેના સ્વાગત ભાગ રૂપે ખેલાડીઓ મળે છે $ 100 કોઈ ડિપોઝિટ બોનસ નથી.,0.3452
"સરળતાથી શોધવા માટે અમારા ફિલ્ટર ટૂલનો ઉપયોગ કરો શ્રેષ્ઠ ઑનલાઇન કેસિનો આ યાદીમાં, સૌથી વધુ લોકપ્રિય ઑનલાઇન કેસિનો અથવા નવી ઑનલાઇન કેસિનો જે તેમના સાઇન-અપ પેકેજના ભાગ રૂપે કોઈ ડિપોઝિટ બોનસની ઓફર કરે છે.",કેસિનો પણ જવું અને કેસિનો લાઈફ જોવો.,0.4281
અમિતાભ બચ્ચનને તેમના ચાહકો બિગ બી તરીકે બોલાવે છે.,"બિગ બી ભલે બોલીવુડની લાઈટ લાઇનમાં જીવી શકે, પરંતુ વાસ્તવિક જીવનમાં અમિતાભ અને તેના પરિવારજનો સરળ જીવન જીવવાનું પસંદ કરે છે.",0.2535
"સૌથી લોકપ્રિય નો ડિપોઝિટ કેસિનો is ડ્રીમ્સ કસિનો, અત્યાર સુધીમાં 53988 ખેલાડીઓની મુલાકાતો સાથે, કેમ કે તે કેસિનોફ્રિક ડોટ કોમ પર અપલોડ કરવામાં આવી છે.",કોમ,0.2104
તેના સ્વાગત ભાગ રૂપે ખેલાડીઓ મળે છે $ 100 કોઈ ડિપોઝિટ બોનસ નથી.,"અમારી અનુભવી ટીમ હંમેશા મુલાકાતીઓને બેસ્ટ નો ડિપોઝિટ બોનસ સાથે પ્રદાન કરે છે જે તમને પરવાનગી આપે છે તમે જીતી રાખો, ઘણા સહિત વિશિષ્ટ બોનસ નવા ખેલાડીઓ માટે.",0.3452
180 દેશોમાં થશે પ્રસારણ,"દરમિયાન, માઇક્રોવેવને 180 ડિગ્રી સેલ્સિયસ પ્રીહિટ કરવા મૂકો.",0.1925
જામનગર એલસીબીએ જાંબુડાના પાટિયા પાસેથી એક સખ્સને પિસ્તોલ સાથે પકડી પાડ્યો છે.,જામનગરના આ સખ્સને જામનગરના જ સખ્સે હથિયાર સપ્લાય કર્યું હોવાનું સામે આવ્યું છે.,0.1962
જામનગરના આ સખ્સને જામનગરના જ સખ્સે હથિયાર સપ્લાય કર્યું હોવાનું સામે આવ્યું છે.,લોકસભાની ચૂંટણીને લઈને હાર્દિક પટેલ બે દિવસથી જામનગરના પ્રવાસે છે.,0.2275
આરોપીએ હથિયાર દ્વારા કોઈ ગુનો આચાર્યો છે કે કેમ ?,?,0.3010
54 રૂપિયાના મથાળે બંધ રહ્યો હતો.,૭૪ બંધ રહ્યો હતો.,0.3194
11 એપ્રિલે લોકસભા ચૂંટણીના પ્રથમ તબક્કાનો શંખનાદ જેને લઈને સાંજે પાંચ વાગ્યે બાદ ચૂંટણી પ્રચાર શાંત થશે 20 રાજ્યની 91 બેઠક પર થશે મતદાન,11 છે.,0.1821
સીઓપી.,જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,0.0000
"10 થી વધુ વર્ષ માટે દારૂ પ્રદર્શન, અને પીણું તાકાત - 40-57%.",10 અને ધો.,0.1493
"બતાવવામાં આવે છે કે, ઝૂમાં કોરોના વાયરસનો એક કેસ સામે આવ્યા પછી અન્ય વાઘોના સેમ્પલ લેવામાં આવ્યા છે, હાલમાં તેમનું પરીક્ષણ કરવામાં આવી રહ્યું છે.",જિલ્લા માંથી કોરોના ટેસ્ટ માટે 1200 સેમ્પલ લેવામાં આવ્યા છે.,0.2874
આ બધાની અંદર વાયરસ સંબંધિત લક્ષણ જોવા મળી રહ્યાં છે.,સંબંધિત ડો.,0.2608
પીએમ મોદી એ ગ્લોબલ સિટીઝન લાઈવનું સંબોધન કર્યું,"જોકે, પીએમ મોદી વર્ચ્યુઅલ મીડિયાના માધ્યમથી કાર્યક્રમમાં જોડાશે.",0.1489
સેન્સરમાં એવું સોફ્ટવેર પણ હશે જે બ્રેસ્ટના ટિશ્યુમાં થનારા પરિવર્તનની જાણકારી મળી શકે છે.,તમારી સાથે પણ એવું જ થાય છે.,0.1363
આનાથી ટ્યુમરની હાજરીના સંકેત મળી શકશે.,આનાથી ભારતની નિકાસ ક્ષમતા પ્રભાવિત થાય છે.,0.1639
મૂલ્યાંકનકાર વ્યવસાય મૂલ્યો સહિત તમામ પરિસ્થિતિઓમાં તે જ રીતે કામ કરે છે.,"x ની મોટી મૂલ્યો માટે, તે બધા ગુમાવી શકાય છે.",0.2211
"8 jailed in Naranamuwada massacre | નારનામુવાડા હત્યાકાંડમાં 8 શખ્સ જેલ હવાલે કરાયાં, નજીવી બાબતમાં યુવાનને રહેંસી નાખ્યો’તો - Divya Bhaskar કપડવંજ તાલુકાના નારનામુવાડા ગામે સામાન્ય બાબતમાં થયેલી મારામારીમાં યુવકને મોતને ઘાટ ઉતારવાના બનાવમાં આઠેય આરોપીને બિલોદરા જિલ્લા જેલમાં મોકલી આપ્યાં હતા.",કપડવંજના નારનામુવાડા ગામે ઉકરડામાં છાણનો ઢગલો કરવા બાબતે થયેલી મારામારીમાં બન્ને પક્ષે સામસામે ફરિયાદ નોંધાવી હતી.,0.2734
કપડવંજના નારનામુવાડા ગામે ઉકરડામાં છાણનો ઢગલો કરવા બાબતે થયેલી મારામારીમાં બન્ને પક્ષે સામસામે ફરિયાદ નોંધાવી હતી.,"8 jailed in Naranamuwada massacre | નારનામુવાડા હત્યાકાંડમાં 8 શખ્સ જેલ હવાલે કરાયાં, નજીવી બાબતમાં યુવાનને રહેંસી નાખ્યો’તો - Divya Bhaskar કપડવંજ તાલુકાના નારનામુવાડા ગામે સામાન્ય બાબતમાં થયેલી મારામારીમાં યુવકને મોતને ઘાટ ઉતારવાના બનાવમાં આઠેય આરોપીને બિલોદરા જિલ્લા જેલમાં મોકલી આપ્યાં હતા.",0.2734
આ મારામારીમાં વિનોદ પ્રજાપતિને ઇજા થતાં અમદાવાદ દવાખાને ખસેડાયા હતા.,ઈજાગ્રસ્તને સારવાર અર્થે દવાખાને ખસેડાયાં હતા.,0.1923
જ્યાં સારવારમાં વિનોદભાઇનું મૃત્યુ નીપજ્યું હતુ.,0% હતુ.,0.1419
એમ ઢોલ  એલ.,એલ.,0.5532
"વિશ્વભરમાં 1,10,000 લોકો કોરોનાથી સંક્રમિત છે.",સૌરાષ્ટ્રમાં આજે કોરોનાથી 357 લોકો સંક્રમિત બન્યા છે.,0.3399
"જ્યારે અત્યાર સુધીમાં 4,011 લોકોનાં મોત નીપજ્યાં છે.",ગુજરાતમાં અત્યાર સુધીમાં કોરોનાને લઇ ૪ મોત થયા છે.,0.2762
"પ્રાપ્ત માહિતી અનુસાર,","પ્રાપ્ત માહિતી અનુસાર, રઘુ ભરવાડ નામના યુવક સાથે છેલ્લાં કેટલાંક દિવસથી માથાકૂટ ચાલતી હતી.",0.3958
આ વિશે વાત કરતા દિલ્હીમાં મેકઅપ અને બ્યુટી પાર્લરના બિઝનેસ સાથે સંકળાયેલા એક વ્યકિતએ જણાવ્યું કે મેકઅપનો બિઝનેસ ધીમો પડી ગયો છે.,આ જોતા હવે બ્યુટી પાર્લરના એડવાન્સ બુકિંગ પણ કેન્સલ થઈ રહ્યા છે.,0.2864
વિધાનસભા ગૃહની વર્ષો જૂની પ્રણાલીને વિધાનસભા અધ્યક્ષ રાજેન્દ્ર ત્રિવેદી દ્વારા ફરીથી જીવંત કરવા માટેનો પ્રયાસ હાથ ધરવામાં આવ્યો હતો.,આ અંગે વિધાનસભાના અધ્યક્ષ રાજેન્દ્ર ત્રિવેદી દ્વારા ૨૦ વર્ષ પછી જૂની પ્રણાલીને જીવંત કરવાનો પ્રયાસ કરવામાં આવ્યો હતો.,0.5731
કોરોનાકાળમાં લોકોને એવું નથી સમજાઈ રહ્યું કે લગ્નમાં આમંત્રણ મળશે કે નહીં?,લગ્નમાં પરિવારજનો રહ્યા ઉપસ્થિત,0.1919
"તાવ આવવા, તાવ આવવા;",તાવ ચઢ-ઉતર થતો હતો છતાં તેમણે અસાધારણ જુસ્સો દેખાડ્યો.,0.2117
કેટલા મહેમાનો માટેની પરમિશન મળશે?,જે માટેની પ્રક્રિયા હાથ ધરાઈ છે.,0.1547
આ જોતા હવે બ્યુટી પાર્લરના એડવાન્સ બુકિંગ પણ કેન્સલ થઈ રહ્યા છે.,હવે ચાર મહિના એટલે કે 120 દિવસ પહેલા એડવાન્સ બુકિંગ કરાવી શકાશે.,0.3085
જો લગ્નની સિઝનમાં જ કમાણી નહીં થાય તો અમારી કમાણી પર કેવી અસર પડશે?,તમારી કમાણી પણ વધશે.,0.3475
"હાલમાં એક ઈટાલિયન કોર્ટે પોતાના નિર્ણયમાં કહ્યું હતું કે ૩૬૦૦ કરોડ રૂપિયાના વીવીઆઈપી હેલિકોપ્ટર સોદાના મામલે લાંચ આપવામાં આવી હતી, જેના પછી સીબીઆઈની આ પ્રથમ પૂછપરછ છે.",ઈટાલીની અદાલતે પોતાના નિર્ણયમાં આ સોદા માટે લાંચ આપવાનો દાવો કર્યો હતો.,0.2111
ેwww.,જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,0.0000
ibps.,જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,0.0000
in,in પર ઓનલાઈન નોંધણી શરુ કરવામાં આવેલ છે અને આ પ્રક્રિયાનું ઓનલાઈન રજીસ્ટ્રેશન શરુ કરવામાં આવ્યું છે.,0.2784
"બીજી પણ નુકસાનકારક રમતો છે, છતાં બાળકો રમે છે.",આમ છતાં પી.,0.1686
"જેમકે, ‘ધ પાસ આઉટ ચેલેન્જ’.",બીજી એક રમત છે ‘ધ કટિંગ ચેલેન્જ’.,0.5965
જેમાં એક કરતાં વધુ બાળકોએ પોતાનું ગળું લાંબો સમય સુધી દબાવી રાખવાનું હોય છે.,જે બાળક સૌથી વધુ લાંબો સમય સુધી આ કરે તે જીત્યો ગણાય.,0.2645
જે બાળક સૌથી વધુ લાંબો સમય સુધી આ કરે તે જીત્યો ગણાય.,જેમાં એક કરતાં વધુ બાળકોએ પોતાનું ગળું લાંબો સમય સુધી દબાવી રાખવાનું હોય છે.,0.2645
"અમેરિકામાં આ રમતથી દર વર્ષે લગભગ ૧,૦૦૦ બાળકો મૃત્યુ પામે છે.",આ દેશમાં દર વર્ષે 3.,0.2559
બીજી એક રમતનું નામ છે ‘ધે સોલ્ટ એન્ડ આઈસ ચેલેન્જ’.,બીજી એક રમત છે ‘ધ કટિંગ ચેલેન્જ’.,0.4088
આ રમતમાં બાળકો પોતાના હાથ પર મીઠું લગાવી દે છે.,જો રૂટ 30 અને સિબ્લી 22 રને રમતમાં છે.,0.1977
ત્યારબાદ તેની પર બરફ મૂકે છે.,જેના ફોટા સોશિયલ મીડિયા પર મૂકે છે.,0.3473
આમ કરતાં બરફનું તાપમાન બહુ જ ઝડપથી નીચું આવી જાય છે.,આ બહુ જ દર્દનાક હશે.,0.1794
જેથી હાથની ચામડી બળી જાય છે.,સમાજમાં જાય છે અને બીજા પાસે જાય છે અને ફાળો એકત્ર કરે છે.,0.1645
આવું કરતી વખતે બાળક વીડિયો પણ ઉતારે છે અને બીજાને બતાવીને પોતે કરેલા કારનામાંથી આનંદ પ્રાપ્ત કરે છે.,માતા અને બાળક સ્વસ્થ,0.1362
બીજી એક રમતનું નામ છે ‘ધ ફાયર ચેલેન્જ’ જેમાં ખાસ કરીને યુવાનો પોતાના શરીર પર જ્વલનશીલ પદાર્થ લગાડે છે અને ત્યારબાદ તેને સળગાવે છે.,જેમાં યુવાનો બ્લેડ કે છરી વડે પોતાના શરીર પર કાપા પાડે છે કે ચોક્કસ નિશાન કરે છે.,0.1924
આમ શરીર બળતું હોય ત્યારે તેના ફોટા કે વીડિયો લઈને સોશિયલ મીડિયા પર મૂકે છે.,જેના ફોટા સોશિયલ મીડિયા પર મૂકે છે.,0.5572
બીજી એક રમત છે ‘ધ કટિંગ ચેલેન્જ’.,"જેમકે, ‘ધ પાસ આઉટ ચેલેન્જ’.",0.5965
જેમાં યુવાનો બ્લેડ કે છરી વડે પોતાના શરીર પર કાપા પાડે છે કે ચોક્કસ નિશાન કરે છે.,બીજી એક રમતનું નામ છે ‘ધ ફાયર ચેલેન્જ’ જેમાં ખાસ કરીને યુવાનો પોતાના શરીર પર જ્વલનશીલ પદાર્થ લગાડે છે અને ત્યારબાદ તેને સળગાવે છે.,0.1924
જેના ફોટા સોશિયલ મીડિયા પર મૂકે છે.,આમ શરીર બળતું હોય ત્યારે તેના ફોટા કે વીડિયો લઈને સોશિયલ મીડિયા પર મૂકે છે.,0.5572
"એનું માનવું એવું હોય છે કે, આમ કરવાથી કોઈ પ્રખ્યાત જૂથમાં ભાગીદાર બનશે.",એનું વ્યક્તિત્વ ચુંબકીય હોય છે.,0.2069
તેનાથી પોતાને એક નવી ઓળખ મળશે.,આપને તેનાથી શું મળશે.,0.4185
વગેરે.,જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,0.0000
ફેસબૂકની માલિકીવાળા વોટ્સએપે ટેકનોલોજી મિનિસ્ટ્રીને એક ચીઠ્ઠી લખી હતી.,ટેકનોલોજી મેટલ સામગ્રી વિવિધ જરૂર છે.,0.1356
"કંપનીએ કહ્યું કે દેશમાં હિંસાની ઘટનાઓ ઘણીં જ ભયાનક છે, અને આ ઘટનાઓને રોકવા માટે નવા પગલાં ભરવામાં આવી રહ્યા છે.",શહેરમાં વિકાસની ગતિને વેગ મળે તે હેતુથી વહીવટદાર દર્શનસિંહ ચાવડા અને તેની ટીમ દ્વારા વિવિધ પગલા ભરવામાં આવી રહ્યા છે.,0.1188
આ સ્માર્ટફોન ને તમે રૂ.,રૂ.,0.4504
"23999 ની શરૂઆત ની કિંમત પર મેળવી શકો છો, આ સ્માર્ટફોન પર ગ્રાહકો ને નો કોસ્ટ ઇએમઆઇ નો પણ વિલાપ આપવા માં આવે છે, જેની શરૂઆત રૂ, 1999 પ્રતિ મહિના થી કરવા માં આવે છે.",આ સ્માર્ટફોન ને તમે રૂ.,0.1789
ડિવિઝનના કંટ્રોલર અને વિભાગીય નિયામક દ્વારા મહિલા કર્મચારીની સતામણી કરાયા બાદ મહિલા કર્મચારીએ ફરિયાદ નોંધાવતા ફરાર થયા બાદ આગોતરા જામીન ઉપર મુકત થવા અરજી કરી હતી.,આ બાબતે તેણીએ ફરિયાદ નોંધાવતા મહિલા પોલીસે તપાસ હાથ ધરી છે.,0.2316
2000 નું ડિસકકાઉન્ટ પણ ઓફર કરવા માં આવે છે.,.એ ક્ષેત્ર માં સંશોધન કરીને દેશ નું નામ રોશન કરવા માંગે છે.,0.1740
ખંભાત:રૂરલ પોલીસે ગઈકાલે મધ્યરાત્રીના સુમારે ઉંદેલ ગામે છાપો મારીને બાથરૂમ-સંડાસમાં છુપાવી રાખેલો કુલ ૧.,૧.,0.1892
"આરોગ્ય પ્રધાન ફહરેટિન કોકાએ ટ્વિટ કર્યું હતું કે દુર્ભાગ્યવશ, ભૂકંપમાં આપણા ચાર નાગરિકોએ પોતાનો જીવ ગુમાવ્યો હતો તથા 120 જેલા લોકો ઘાયલ થયા હતા.",સાથે સાથે અન્ય ચાર લોકો ઘાયલ થયા છે.,0.2305
"બેરોક શૈલીમાં ઍપાર્ટમેન્ટનું આંતરિક શાહી મહેલ જેવું છે તે મહાનતા અને વૈભવ, વિપરીત અને છબીઓ તણાવ સાથે જોડાયેલું છે.","બેરોક આંતરિકમાં, ભ્રાંતિ અને વાસ્તવિકતા વચ્ચેની રેખા વ્યવહારિક રીતે ગેરહાજર છે;",0.1385
"બેરોક આંતરિકમાં, ભ્રાંતિ અને વાસ્તવિકતા વચ્ચેની રેખા વ્યવહારિક રીતે ગેરહાજર છે;","બેરોક શૈલીમાં ઍપાર્ટમેન્ટનું આંતરિક શાહી મહેલ જેવું છે તે મહાનતા અને વૈભવ, વિપરીત અને છબીઓ તણાવ સાથે જોડાયેલું છે.",0.1385
મદનજી પાછલા વર્ષમાં જૂનમાં રાજસ્થાનના બીજેપી ના પ્રમુખ તરીકેનું  પદ સ્વીકાર્યું અને તેમના કાર્યથી  લોકસભાના ચુનાવ માં તમામ સીટો ભાજપના ફાડે આવી.,ના પ્રમુખ વી.,0.1420
તેમની કુશળ કામગિરિના લીધે તેમણે આ પદ આપવામાં આવ્યું હતું અને તેઓ વસુધરા રાજે સાથે તેઓ  હમેશા રહેતા.,વસુંધરા રાજે સિંધિયા,0.1564
"નોર્વે હાકોન પ્રિન્સ, પ્રિન્સેસ મેરી-ચાંતલ, નૉર્વેની રાજકુમારી મેટ-મેરીટ અને જિયાનકોલો જમાત્તી",કોણ છે શિવ અને અને આપણો તેની સાથે શું સંબંધ છે?,0.0132
"તો આજે સુત્રો મારફતે જાણવા મળ્યુ હતુ કે, જી.",જી.,0.3442
કે હોસ્પિટલમાં કોવિડ વોર્ડમાં 7 દર્દીઓના મોત થયા હતા.,કોરોનાથી કુલ 8 દર્દીઓના મોત થયા છે.,0.4164
અને તબક્કાવાર ડેડ બોડીઓની કોવિડ ગાઈડલાઈન મુજબ અંતિમ વિધિ કરાઈ હતી.,સરકાર દ્વારા જે ગાઈડલાઈન આપવામાં આવશે તે મુજબ આગળનું પ્લાનિંગ કરીશું,0.1760
એક દર્દીના સગા સાથે સાંજે વાતચીત થતા તેમને ખારી નદી સ્થિત સ્મશાનગૃહમાં રાત્રે 10 વાગ્યે અંતિમવિધિ માટેનો સમય અપાયો હતો.,કોરોનાની સારવાર દરમિયાન વધુ 1 દર્દીના મોત સાથે કોરોના પોઝીટીવ દર્દીના વધુ 19 નવા કેસ નોંધાયા છે.,0.1582
તો ગાંધીધામ-આદિપુરમાં પણ કોરોનાના કારણે કફોડી પરિસ્થિતિ છે.,નોંધપાત્ર છે કે છેલ્લા ઘણા દિવસોથી કોરોનાના કારણે પરિસ્થિતિ વધુ ગંભીર બની છે.,0.2727
ઓદ્યોગિક મથકમાં પણ મૃત્યુઆંક ઉચકાયેલો છે.,"દેશમાં કોરોનાથી કુલ મૃત્યુઆંક 1,56,385 પર પહોંચ્યો છે.",0.1469
અને ત્યા પણ ભુજ જેવી જ પરિસ્થિતિ છે.,તો જ તમે તમારી પરિસ્થિતિ પર કાબુ મેળવી શકશો.,0.2168
